Station,Camera,Latitude,Longitude,Setup_date,Retrieval_date,Problem1_from,Problem1_to,Problem2_from,Problem2_to,sessionCol,Cluster,TrailType,CameraType,Habitat,BaitReplaced1,BaitReplaced2,BaitReplaced3,BaitReplaced4,BaitReplaced5,BaitReplaced6
PS1,CamA,-32.679857,152.183854,8/12/2022,06/03/2023,,,,,1,N/A,Walktrail,Trail,Wet_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS1,CamB,-32.679857,152.183854,8/12/2022,06/03/2023,,,,,1,N/A,Walktrail,Trail,Wet_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS2,CamA,-32.657412,152.185272,9/12/2022,06/03/2023,,,,,1,N/A,4wdtrack,Trail,Wet_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS2,CamB,-32.657412,152.185272,9/12/2022,06/03/2023,,,,,1,N/A,4wdtrack,Trail,Wet_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS3,CamA,-32.63617,152.20218,9/12/2022,06/03/2023,5/01/2023,10/01/2023,,,1,N/A,4wdtrack,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS3,CamB,-32.63617,152.20218,9/12/2022,06/03/2023,,,,,1,N/A,4wdtrack,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS5,CamA,-32.60284,152.23293,8/12/2022,06/03/2023,,,,,1,N/A,4wdtrack,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS5,CamB,-32.60284,152.23293,8/12/2022,06/03/2023,,,,,1,N/A,4wdtrack,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS6,CamA,-32.58665,152.27344,8/12/2022,06/03/2023,5/02/2023,21/02/2023,,,1,N/A,4wdtrack,Trail,Heathland,N/A,N/A,N/A,N/A,N/A,N/A
PS6,CamB,-32.58665,152.27344,8/12/2022,06/03/2023,,,,,1,N/A,4wdtrack,Trail,Heathland,N/A,N/A,N/A,N/A,N/A,N/A
PS9,CamA,-32.51167,152.32956,8/12/2022,06/03/2023,21/12/2022,10/01/2023,,,1,N/A,4wdtrack,Trail,Forested_Wetland,N/A,N/A,N/A,N/A,N/A,N/A
PS9,CamB,-32.51167,152.32956,8/12/2022,06/03/2023,21/12/2022,10/01/2023,,,1,N/A,4wdtrack,Trail,Forested_Wetland,N/A,N/A,N/A,N/A,N/A,N/A
PS11,CamA,-32.48169,152.35347,5/12/2022,06/03/2023,5/12/2022,12/01/2023,,,1,N/A,Unsealedroad,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS11,CamB,-32.48169,152.35347,5/12/2022,06/03/2023,5/12/2022,12/01/2023,20/02/2023,06/03/2023,1,N/A,Unsealedroad,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS12,CamA,-32.5004,152.3555,8/12/2022,06/03/2023,,,,,1,N/A,Walktrail,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS12,CamB,-32.5004,152.3555,8/12/2022,06/03/2023,,,,,1,N/A,Walktrail,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS13,CamA,-32.4571,152.38283,5/12/2022,06/03/2023,,,,,1,N/A,4wdtrack,Trail,Forested_Wetland,N/A,N/A,N/A,N/A,N/A,N/A
PS13,CamB,-32.4571,152.38283,5/12/2022,06/03/2023,28/12/2022,9/01/2023,,,1,N/A,4wdtrack,Trail,Forested_Wetland,N/A,N/A,N/A,N/A,N/A,N/A
PS14,CamA,-32.48103,152.39821,5/12/2022,06/03/2023,,,,,1,N/A,Walktrail,Trail,Forested_Wetland,N/A,N/A,N/A,N/A,N/A,N/A
PS14,CamB,-32.48103,152.39821,5/12/2022,06/03/2023,,,,,1,N/A,Walktrail,Trail,Forested_Wetland,N/A,N/A,N/A,N/A,N/A,N/A
PS15,CamA,-32.46137,152.42685,5/12/2022,06/03/2023,,,,,1,N/A,Unsealedroad,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS15,CamB,-32.46137,152.42685,5/12/2022,06/03/2023,,,,,1,N/A,Unsealedroad,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS16,CamA,-32.44598,152.43916,5/12/2022,06/03/2023,,,,,1,N/A,4wdtrack,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS16,CamB,-32.44598,152.43916,5/12/2022,06/03/2023,,,,,1,N/A,4wdtrack,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS17,CamA,-32.42615,152.47166,5/12/2022,06/03/2023,5/12/2022,9/01/2023,,,1,N/A,Unsealedroad,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS17,CamB,-32.42615,152.47166,5/12/2022,06/03/2023,,,,,1,N/A,Unsealedroad,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS18,CamA,-32.46056,152.46057,5/12/2022,06/03/2023,,,,,1,N/A,4wdtrack,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS18,CamB,-32.46056,152.46057,5/12/2022,06/03/2023,,,,,1,N/A,4wdtrack,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS19,CamA,-32.44154,152.49286,5/12/2022,06/03/2023,,,,,1,N/A,4wdtrack,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS19,CamB,-32.44154,152.49286,5/12/2022,06/03/2023,,,,,1,N/A,4wdtrack,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS20,CamA,-32.39972,152.50082,5/12/2022,06/03/2023,,,,,1,N/A,Walktrail,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS20,CamB,-32.39972,152.50082,5/12/2022,06/03/2023,,,,,1,N/A,Walktrail,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS21,CamA,-32.43413,152.51566,6/12/2022,06/03/2023,,,,,1,N/A,4wdtrack,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS21,CamB,-32.43413,152.51566,6/12/2022,06/03/2023,,,,,1,N/A,4wdtrack,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS23,CamA,-32.570626,152.283255,8/12/2022,06/03/2023,,,,,1,N/A,4wdtrack,Trail,Forested_Wetland,N/A,N/A,N/A,N/A,N/A,N/A
PS23,CamB,-32.570626,152.283255,8/12/2022,06/03/2023,,,,,1,N/A,4wdtrack,Trail,Forested_Wetland,N/A,N/A,N/A,N/A,N/A,N/A
PS24,CamA,-32.610825,152.216843,8/12/2022,06/03/2023,,,,,1,N/A,4wdtrack,Trail,Heathland,N/A,N/A,N/A,N/A,N/A,N/A
PS24,CamB,-32.610825,152.216843,8/12/2022,06/03/2023,,,,,1,N/A,4wdtrack,Trail,Heathland,N/A,N/A,N/A,N/A,N/A,N/A
PS25,CamA,-32.498115,152.309451,5/12/2022,06/03/2023,,,,,1,N/A,4wdtrack,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS25,CamB,-32.498115,152.309451,5/12/2022,06/03/2023,,,,,1,N/A,4wdtrack,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS26,CamA,-32.545576,152.307052,22/02/2023,06/03/2023,,,,,1,N/A,Unsealedroad,Trail,Heathland,N/A,N/A,N/A,N/A,N/A,N/A
PS27,CamA,-32.399646,152.470765,7/12/2022,06/03/2023,,,,,1,N/A,Unsealedroad,Trail,Forested_Wetland,N/A,N/A,N/A,N/A,N/A,N/A
PS27,CamB,-32.399646,152.470765,7/12/2022,06/03/2023,,,,,1,N/A,Unsealedroad,Trail,Forested_Wetland,N/A,N/A,N/A,N/A,N/A,N/A
Q1,CamA,-32.670086,152.180105,7/12/2022,5/03/2023,,,,,1,1,Offroad,Baited,Wet_Sclerophyll_Forest,7/12/2022,20/12/2022,10/01/2023,23/01/2023,12/02/2023,23/02/2023
Q2,CamA,-32.664093,152.18588,7/12/2022,5/03/2023,,,,,1,1,Offroad,Baited,Heathland,7/12/2022,20/12/2022,10/01/2023,23/01/2023,12/02/2023,23/02/2023
Q3,CamA,-32.65043,152.183868,7/12/2022,5/03/2023,,,,,1,1,Offroad,Baited,Dry_Sclerophyll_Forest,7/12/2022,20/12/2022,10/01/2023,23/01/2023,12/02/2023,23/02/2023
Q4,CamA,-32.634349,152.199739,9/12/2022,7/03/2023,12/01/2023,22/01/2023,,,1,2,Offroad,Baited,Heathland,9/12/2022,20/12/2022,10/01/2023,23/01/2023,12/02/2023,23/02/2023
Q5,CamA,-32.625918,152.201776,7/12/2022,5/03/2023,,,,,1,2,Offroad,Baited,Heathland,7/12/2022,20/12/2022,10/01/2023,23/01/2023,12/02/2023,22/02/2023
Q6,CamA,-32.623538,152.210463,7/12/2022,5/03/2023,,,,,1,2,Offroad,Baited,Heathland,7/12/2022,20/12/2022,10/01/2023,23/01/2023,12/02/2023,22/02/2023
Q7,CamA,-32.605449,152.232598,7/12/2022,5/03/2023,08/12/2022,19/12/2022,,,1,3,Offroad,Baited,Dry_Sclerophyll_Forest,7/12/2022,20/12/2022,10/01/2023,23/01/2023,12/02/2023,22/02/2023
Q8,CamA,-32.60134,152.235144,7/12/2022,5/03/2023,,,,,1,3,Offroad,Baited,Dry_Sclerophyll_Forest,7/12/2022,20/12/2022,10/01/2023,23/01/2023,12/02/2023,22/02/2023
Q9,CamA,-32.597268,152.24699,7/12/2022,5/03/2023,,,,,1,3,Offroad,Baited,Forested_Wetland,7/12/2022,20/12/2022,10/01/2023,23/01/2023,12/02/2023,22/02/2023
Q10,CamA,-32.581842,152.278102,7/12/2022,5/03/2023,,,,,1,4,Offroad,Baited,Forested_Wetland,7/12/2022,20/12/2022,11/01/2023,23/01/2023,12/02/2023,22/02/2023
Q11,CamA,-32.582902,152.288365,7/12/2022,5/03/2023,,,,,1,4,Offroad,Baited,Heathland,7/12/2022,20/12/2022,11/01/2023,23/01/2023,12/02/2023,22/02/2023
Q12,CamA,-32.573201,152.285559,7/12/2022,5/03/2023,,,,,1,4,Offroad,Baited,Forested_Wetland,7/12/2022,20/12/2022,11/01/2023,23/01/2023,12/02/2023,22/02/2023
Q13,CamA,-32.545608,152.306744,6/12/2022,6/03/2023,,,,,1,5,Offroad,Baited,Forested_Wetland,6/12/2022,20/12/2022,11/01/2023,23/01/2023,12/02/2023,22/02/2023
Q14,CamA,-32.538752,152.312651,6/12/2022,6/03/2023,,,,,1,5,Offroad,Baited,Rainforest,6/12/2022,20/12/2022,11/01/2023,23/01/2023,12/02/2023,22/02/2023
Q15,CamA,-32.537029,152.319252,6/12/2022,6/03/2023,,,,,1,5,Offroad,Baited,Heathland,6/12/2022,20/12/2022,11/01/2023,23/01/2023,12/02/2023,22/02/2023
Q16,CamA,-32.514906,152.323723,7/12/2022,6/03/2023,25/01/2023,12/02/2023,,,1,6,Offroad,Baited,Dry_Sclerophyll_Forest,7/12/2022,20/12/2022,11/01/2023,24/01/2023,13/02/2023,22/02/2023
Q17,CamA,-32.50445,152.325752,9/12/2022,6/03/2023,,,,,1,6,Offroad,Baited,Dry_Sclerophyll_Forest,9/12/2022,19/12/2022,12/01/2023,24/01/2023,13/02/2023,23/02/2023
Q18,CamA,-32.5094,152.333442,8/12/2022,13/03/2023,,,,,1,6,Offroad,Baited,Forested_Wetland,8/12/2022,20/12/2022,11/01/2023,24/01/2023,13/02/2023,22/02/2023
Q19,CamA,-32.496321,152.308556,6/12/2022,6/03/2023,,,,,1,7,Offroad,Baited,Forested_Wetland,6/12/2022,19/12/2022,11/01/2023,25/01/2023,13/02/2023,21/02/2023
Q20,CamA,-32.490274,152.305247,6/12/2022,6/03/2023,,,,,1,7,Offroad,Baited,Forested_Wetland,6/12/2022,19/12/2022,11/01/2023,25/01/2023,13/02/2023,21/02/2023
Q21,CamA,-32.486284,152.306305,6/12/2022,6/03/2023,17/02/2023,20/02/2023,,,1,7,Offroad,Baited,Dry_Sclerophyll_Forest,6/12/2022,19/12/2022,11/01/2023,25/01/2023,13/02/2023,21/02/2023
Q22,CamA,-32.48765,152.344616,9/12/2022,6/03/2023,,,,,1,8,Offroad,Baited,Dry_Sclerophyll_Forest,9/12/2022,19/12/2022,12/01/2023,24/01/2023,13/02/2023,21/02/2023
Q23,CamA,-32.496088,152.352864,8/12/2022,13/03/2023,,,,,1,8,Offroad,Baited,Forested_Wetland,8/12/2022,20/12/2022,11/01/2023,24/01/2023,13/02/2023,22/02/2023
Q24,CamA,-32.482276,152.35305,9/12/2022,6/03/2023,,,,,1,8,Offroad,Baited,Dry_Sclerophyll_Forest,9/12/2022,19/12/2022,12/01/2023,24/01/2023,13/02/2023,22/02/2023
Q25,CamA,-32.461347,152.385205,6/12/2022,6/03/2023,14/02/2023,20/02/2023,,,1,9,Offroad,Baited,Wet_Sclerophyll_Forest,6/12/2022,19/12/2022,10/01/2023,24/01/2023,13/02/2023,21/02/2023
Q26,CamA,-32.47293,152.374777,9/12/2022,6/03/2023,,,,,1,9,Offroad,Baited,Forested_Wetland,9/12/2022,19/12/2022,10/01/2023,24/01/2023,13/02/2023,21/02/2023
Q27,CamA,-32.472262,152.387935,6/12/2022,6/03/2023,,,,,1,9,Offroad,Baited,Heathland,6/12/2022,19/12/2022,12/01/2023,24/01/2023,13/02/2023,21/02/2023
Q28,CamA,-32.466821,152.424742,6/12/2022,6/03/2023,,,,,1,10,Offroad,Baited,Dry_Sclerophyll_Forest,6/12/2022,19/12/2022,12/01/2023,24/01/2023,13/02/2023,21/02/2023
Q29,CamA,-32.474848,152.422168,6/12/2022,6/03/2023,,,,,1,10,Offroad,Baited,Dry_Sclerophyll_Forest,6/12/2022,19/12/2022,12/01/2023,24/01/2023,13/02/2023,21/02/2023
Q30,CamA,-32.474847,152.411993,6/12/2022,6/03/2023,,,,,1,10,Offroad,Baited,Forested_Wetland,6/12/2022,19/12/2022,12/01/2023,24/01/2023,13/02/2023,21/02/2023
Q31,CamA,-32.450286,152.457603,6/12/2022,6/03/2023,12/01/2023,24/01/2023,,,1,11,Offroad,Baited,Dry_Sclerophyll_Forest,6/12/2022,19/12/2022,9/01/2023,24/01/2023,13/02/2023,21/02/2023
Q32,CamA,-32.445241,152.445639,6/12/2022,6/03/2023,,,,,1,11,Offroad,Baited,Dry_Sclerophyll_Forest,6/12/2022,19/12/2022,9/01/2023,24/01/2023,13/02/2023,21/02/2023
Q33,CamA,-32.437875,152.457807,6/12/2022,6/03/2023,,,,,1,11,Offroad,Baited,Dry_Sclerophyll_Forest,6/12/2022,19/12/2022,9/01/2023,24/01/2023,13/02/2023,21/02/2023
Q34,CamA,-32.443363,152.519052,6/12/2022,6/03/2023,,,,,1,12,Offroad,Baited,Dry_Sclerophyll_Forest,6/12/2022,19/12/2022,9/01/2023,25/01/2023,13/02/2023,21/02/2023
Q35,CamA,-32.434272,152.515882,6/12/2022,6/03/2023,,,,,1,12,Offroad,Baited,Dry_Sclerophyll_Forest,6/12/2022,19/12/2022,9/01/2023,25/01/2023,13/02/2023,21/02/2023
Q36,CamA,-32.434196,152.528178,6/12/2022,6/03/2023,9/12/2022,18/12/2022,7/01/2023,9/01/2023,1,12,Offroad,Baited,Rainforest,6/12/2022,19/12/2022,9/01/2023,25/01/2023,13/02/2023,21/02/2023
Q37,CamA,-32.404688,152.455582,6/12/2022,6/03/2023,,,,,1,13,Offroad,Baited,Forested_Wetland,6/12/2022,19/12/2022,9/01/2023,25/01/2023,13/02/2023,21/02/2023
Q38,CamA,-32.412741,152.464939,6/12/2022,6/03/2023,,,,,1,13,Offroad,Baited,Wet_Sclerophyll_Forest,6/12/2022,19/12/2022,9/01/2023,25/01/2023,13/02/2023,21/02/2023
Q39,CamA,-32.401755,152.466134,6/12/2022,6/03/2023,22/12/2022,8/01/2023,,,1,13,Offroad,Baited,Wet_Sclerophyll_Forest,6/12/2022,19/12/2022,9/01/2023,25/01/2023,13/02/2023,21/02/2023
