Trap,Camera,Latitude,Longitude,Setup_date,Retrieval_date,Problem1_from,Problem1_to,Problem2_from,Problem2_to,sessionCol,Cluster,TrailType,CameraType,Habitat,BaitReplaced1,BaitReplaced2,BaitReplaced3,BaitReplaced4,BaitReplaced5,BaitReplaced6,x,y,Habitat2
PS1,CamA,-32.679857,152.183854,8/12/2022,6/03/2023,,,,,1,N/A,Walktrail,Trail,Wet_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A,423483.8042,6383908.967,Forest
PS2,CamA,-32.657412,152.185272,9/12/2022,6/03/2023,,,,,1,N/A,4wdtrack,Trail,Wet_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A,423597.6501,6386398.217,Forest
PS3,CamA,-32.63617,152.20218,9/12/2022,6/03/2023,5/01/2023,10/01/2023,,,1,N/A,Unsealedroad,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A,425165.5768,6388765.112,Forest
PS5,CamA,-32.60284,152.23293,8/12/2022,6/03/2023,,,,,1,N/A,4wdtrack,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A,428023.2917,6392481.238,Forest
PS6,CamA,-32.58665,152.27344,8/12/2022,6/03/2023,5/02/2023,21/02/2023,,,1,N/A,4wdtrack,Trail,Heathland,N/A,N/A,N/A,N/A,N/A,N/A,431812.3063,6394302.706,Dense
PS9,CamA,-32.51167,152.32956,8/12/2022,6/03/2023,21/12/2022,10/01/2023,,,1,N/A,4wdtrack,Trail,Forested_Wetland,N/A,N/A,N/A,N/A,N/A,N/A,437026.9461,6402649.222,Dense
PS11,CamA,-32.48169,152.35347,5/12/2022,6/03/2023,5/12/2022,12/01/2023,,,1,N/A,Unsealedroad,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A,439252.656,6405986.504,Forest
PS12,CamA,-32.5004,152.3555,8/12/2022,6/03/2023,,,,,1,N/A,Walktrail,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A,439455.9293,6403913.578,Forest
PS13,CamA,-32.4571,152.38283,5/12/2022,6/03/2023,,,,,1,N/A,4wdtrack,Trail,Forested_Wetland,N/A,N/A,N/A,N/A,N/A,N/A,441995.5766,6408728.728,Dense
PS14,CamA,-32.48103,152.39821,5/12/2022,6/03/2023,,,,,1,N/A,Walktrail,Trail,Forested_Wetland,N/A,N/A,N/A,N/A,N/A,N/A,443456.0396,6406084.261,Dense
PS15,CamA,-32.46137,152.42685,5/12/2022,6/03/2023,,,,,1,N/A,Unsealedroad,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A,446135.3775,6408278.451,Forest
PS16,CamA,-32.44598,152.43916,5/12/2022,6/03/2023,,,,,1,N/A,4wdtrack,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A,447283.3255,6409990.619,Forest
PS17,CamA,-32.42615,152.47166,5/12/2022,6/03/2023,5/12/2022,9/01/2023,,,1,N/A,Unsealedroad,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A,450327.3588,6412204.396,Forest
PS18,CamA,-32.46056,152.46057,5/12/2022,6/03/2023,,,,,1,N/A,4wdtrack,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A,449303.9698,6408384.757,Forest
PS19,CamA,-32.44154,152.49286,5/12/2022,6/03/2023,,,,,1,N/A,4wdtrack,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A,452328.6289,6410508.042,Forest
PS20,CamA,-32.39972,152.50082,5/12/2022,6/03/2023,,,,,1,N/A,Walktrail,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A,453055.2261,6415147.383,Forest
PS21,CamA,-32.43413,152.51566,6/12/2022,6/03/2023,,,,,1,N/A,4wdtrack,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A,454468.1361,6411339.402,Forest
PS23,CamA,-32.570626,152.283255,8/12/2022,6/03/2023,,,,,1,N/A,4wdtrack,Trail,Forested_Wetland,N/A,N/A,N/A,N/A,N/A,N/A,432721.4991,6396085.316,Dense
PS24,CamA,-32.610825,152.216843,8/12/2022,6/03/2023,,,,,1,N/A,4wdtrack,Trail,Heathland,N/A,N/A,N/A,N/A,N/A,N/A,426520.2766,6391585.037,Dense
PS25,CamA,-32.498115,152.309451,5/12/2022,6/03/2023,,,,,1,N/A,4wdtrack,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A,435128.3781,6404139.8,Forest
PS26,CamA,-32.545576,152.307052,22/02/2023,6/03/2023,,,,,1,N/A,Unsealedroad,Trail,Heathland,N/A,N/A,N/A,N/A,N/A,N/A,434937.2176,6398877.046,Dense
PS27,CamA,-32.399646,152.470765,7/12/2022,6/03/2023,,,,,1,N/A,Unsealedroad,Trail,Forested_Wetland,N/A,N/A,N/A,N/A,N/A,N/A,450228.6662,6415141.993,Forest
Q1,CamA,-32.670086,152.180105,7/12/2022,5/03/2023,,,,,1,1,Offroad,Baited,Wet_Sclerophyll_Forest,7/12/2022,20/12/2022,10/01/2023,23/01/2023,12/02/2023,23/02/2023,423123.9449,6384989.461,Forest
Q2,CamA,-32.664093,152.18588,7/12/2022,5/03/2023,,,,,1,1,Offroad,Baited,Heathland,7/12/2022,20/12/2022,10/01/2023,23/01/2023,12/02/2023,23/02/2023,423660.3476,6385658.007,Dense
Q3,CamA,-32.65043,152.183868,7/12/2022,5/03/2023,,,,,1,1,Offroad,Baited,Dry_Sclerophyll_Forest,7/12/2022,20/12/2022,10/01/2023,23/01/2023,12/02/2023,23/02/2023,423460.0349,6387171.221,Forest
Q4,CamA,-32.634349,152.199739,9/12/2022,7/03/2023,12/01/2023,22/01/2023,,,1,2,Offroad,Baited,Heathland,9/12/2022,20/12/2022,10/01/2023,23/01/2023,12/02/2023,23/02/2023,424935.0874,6388965.262,Dense
Q5,CamA,-32.625918,152.201776,7/12/2022,5/03/2023,,,,,1,2,Offroad,Baited,Heathland,7/12/2022,20/12/2022,10/01/2023,23/01/2023,12/02/2023,22/02/2023,425119.1426,6389901.344,Dense
Q6,CamA,-32.623538,152.210463,7/12/2022,5/03/2023,,,,,1,2,Offroad,Baited,Heathland,7/12/2022,20/12/2022,10/01/2023,23/01/2023,12/02/2023,22/02/2023,425932.1259,6390171.274,Dense
Q7,CamA,-32.605449,152.232598,7/12/2022,5/03/2023,8/12/2022,19/12/2022,,,1,3,Offroad,Baited,Dry_Sclerophyll_Forest,7/12/2022,20/12/2022,10/01/2023,23/01/2023,12/02/2023,22/02/2023,427994.2258,6392191.786,Forest
Q8,CamA,-32.60134,152.235144,7/12/2022,5/03/2023,,,,,1,3,Offroad,Baited,Dry_Sclerophyll_Forest,7/12/2022,20/12/2022,10/01/2023,23/01/2023,12/02/2023,22/02/2023,428229.8478,6392649.02,Forest
Q9,CamA,-32.597268,152.24699,7/12/2022,5/03/2023,,,,,1,3,Offroad,Baited,Forested_Wetland,7/12/2022,20/12/2022,10/01/2023,23/01/2023,12/02/2023,22/02/2023,429338.2463,6393108.364,Dense
Q10,CamA,-32.581842,152.278102,7/12/2022,5/03/2023,,,,,1,4,Offroad,Baited,Forested_Wetland,7/12/2022,20/12/2022,11/01/2023,23/01/2023,12/02/2023,22/02/2023,432246.2283,6394838.682,Dense
Q11,CamA,-32.582902,152.288365,7/12/2022,5/03/2023,,,,,1,4,Offroad,Baited,Heathland,7/12/2022,20/12/2022,11/01/2023,23/01/2023,12/02/2023,22/02/2023,433210.2698,6394727.664,Dense
Q12,CamA,-32.573201,152.285559,7/12/2022,5/03/2023,,,,,1,4,Offroad,Baited,Forested_Wetland,7/12/2022,20/12/2022,11/01/2023,23/01/2023,12/02/2023,22/02/2023,432939.6891,6395801.316,Dense
Q13,CamA,-32.545608,152.306744,6/12/2022,6/03/2023,,,,,1,5,Offroad,Baited,Forested_Wetland,6/12/2022,20/12/2022,11/01/2023,23/01/2023,12/02/2023,22/02/2023,434908.3211,6398873.31,Dense
Q14,CamA,-32.538752,152.312651,6/12/2022,6/03/2023,,,,,1,5,Offroad,Baited,Rainforest,6/12/2022,20/12/2022,11/01/2023,23/01/2023,12/02/2023,22/02/2023,435458.0518,6399636.93,Forest
Q15,CamA,-32.537029,152.319252,6/12/2022,6/03/2023,,,,,1,5,Offroad,Baited,Heathland,6/12/2022,20/12/2022,11/01/2023,23/01/2023,12/02/2023,22/02/2023,436076.6763,6399831.914,Dense
Q16,CamA,-32.514906,152.323723,7/12/2022,6/03/2023,25/01/2023,12/02/2023,,,1,6,Offroad,Baited,Dry_Sclerophyll_Forest,7/12/2022,20/12/2022,11/01/2023,24/01/2023,13/02/2023,22/02/2023,436480.9538,6402287.033,Forest
Q17,CamA,-32.50445,152.325752,9/12/2022,6/03/2023,,,,,1,6,Offroad,Baited,Dry_Sclerophyll_Forest,9/12/2022,19/12/2022,12/01/2023,24/01/2023,13/02/2023,23/02/2023,436664.1994,6403447.337,Forest
Q18,CamA,-32.5094,152.333442,8/12/2022,13/03/2023,,,,,1,6,Offroad,Baited,Forested_Wetland,8/12/2022,20/12/2022,11/01/2023,24/01/2023,13/02/2023,22/02/2023,437390.0079,6402903.149,Dense
Q19,CamA,-32.496321,152.308556,6/12/2022,6/03/2023,,,,,1,7,Offroad,Baited,Forested_Wetland,6/12/2022,19/12/2022,11/01/2023,25/01/2023,13/02/2023,21/02/2023,435043.0087,6404338.129,Dense
Q20,CamA,-32.490274,152.305247,6/12/2022,6/03/2023,,,,,1,7,Offroad,Baited,Forested_Wetland,6/12/2022,19/12/2022,11/01/2023,25/01/2023,13/02/2023,21/02/2023,434727.7749,6405006.446,Dense
Q21,CamA,-32.486284,152.306305,6/12/2022,6/03/2023,17/02/2023,20/02/2023,,,1,7,Offroad,Baited,Dry_Sclerophyll_Forest,6/12/2022,19/12/2022,11/01/2023,25/01/2023,13/02/2023,21/02/2023,434824.2998,6405449.402,Forest
Q22,CamA,-32.48765,152.344616,9/12/2022,6/03/2023,,,,,1,8,Offroad,Baited,Dry_Sclerophyll_Forest,9/12/2022,19/12/2022,12/01/2023,24/01/2023,13/02/2023,21/02/2023,438424.7863,6405320.738,Forest
Q23,CamA,-32.496088,152.352864,8/12/2022,13/03/2023,,,,,1,8,Offroad,Baited,Forested_Wetland,8/12/2022,20/12/2022,11/01/2023,24/01/2023,13/02/2023,22/02/2023,439205.3992,6404390.082,Dense
Q24,CamA,-32.482276,152.35305,9/12/2022,6/03/2023,,,,,1,8,Offroad,Baited,Dry_Sclerophyll_Forest,9/12/2022,19/12/2022,12/01/2023,24/01/2023,13/02/2023,22/02/2023,439213.5864,6405921.304,Forest
Q25,CamA,-32.461347,152.385205,6/12/2022,6/03/2023,14/02/2023,20/02/2023,,,1,9,Offroad,Baited,Wet_Sclerophyll_Forest,6/12/2022,19/12/2022,10/01/2023,24/01/2023,13/02/2023,21/02/2023,442221.5048,6408259.223,Forest
Q26,CamA,-32.47293,152.374777,9/12/2022,6/03/2023,,,,,1,9,Offroad,Baited,Forested_Wetland,9/12/2022,19/12/2022,10/01/2023,24/01/2023,13/02/2023,21/02/2023,441248.9857,6406969.514,Dense
Q27,CamA,-32.472262,152.387935,6/12/2022,6/03/2023,,,,,1,9,Offroad,Baited,Heathland,6/12/2022,19/12/2022,12/01/2023,24/01/2023,13/02/2023,21/02/2023,442485.0135,6407050.733,Dense
Q28,CamA,-32.466821,152.424742,6/12/2022,6/03/2023,,,,,1,10,Offroad,Baited,Dry_Sclerophyll_Forest,6/12/2022,19/12/2022,12/01/2023,24/01/2023,13/02/2023,21/02/2023,445940.5215,6407673.126,Forest
Q29,CamA,-32.474848,152.422168,6/12/2022,6/03/2023,,,,,1,10,Offroad,Baited,Dry_Sclerophyll_Forest,6/12/2022,19/12/2022,12/01/2023,24/01/2023,13/02/2023,21/02/2023,445703.4461,6406782.001,Forest
Q30,CamA,-32.474847,152.411993,6/12/2022,6/03/2023,,,,,1,10,Offroad,Baited,Forested_Wetland,6/12/2022,19/12/2022,12/01/2023,24/01/2023,13/02/2023,21/02/2023,444747.3274,6406776.889,Dense
Q31,CamA,-32.450286,152.457603,6/12/2022,6/03/2023,12/01/2023,24/01/2023,,,1,11,Offroad,Baited,Dry_Sclerophyll_Forest,6/12/2022,19/12/2022,9/01/2023,24/01/2023,13/02/2023,21/02/2023,449019.3394,6409522.243,Forest
Q32,CamA,-32.445241,152.445639,6/12/2022,6/03/2023,,,,,1,11,Offroad,Baited,Dry_Sclerophyll_Forest,6/12/2022,19/12/2022,9/01/2023,24/01/2023,13/02/2023,21/02/2023,447891.908,6410075.719,Forest
Q33,CamA,-32.437875,152.457807,6/12/2022,6/03/2023,,,,,1,11,Offroad,Baited,Dry_Sclerophyll_Forest,6/12/2022,19/12/2022,9/01/2023,24/01/2023,13/02/2023,21/02/2023,449031.5292,6410898.129,Forest
Q34,CamA,-32.443363,152.519052,6/12/2022,6/03/2023,,,,,1,12,Offroad,Baited,Dry_Sclerophyll_Forest,6/12/2022,19/12/2022,9/01/2023,25/01/2023,13/02/2023,21/02/2023,454791.6232,6410317.348,Forest
Q35,CamA,-32.434272,152.515882,6/12/2022,6/03/2023,,,,,1,12,Offroad,Baited,Dry_Sclerophyll_Forest,6/12/2022,19/12/2022,9/01/2023,25/01/2023,13/02/2023,21/02/2023,454489.0775,6411323.756,Forest
Q36,CamA,-32.434196,152.528178,6/12/2022,6/03/2023,9/12/2022,18/12/2022,7/01/2023,9/01/2023,1,12,Offroad,Baited,Rainforest,6/12/2022,19/12/2022,9/01/2023,25/01/2023,13/02/2023,21/02/2023,455644.9729,6411337.353,Forest
Q37,CamA,-32.404688,152.455582,6/12/2022,6/03/2023,,,,,1,13,Offroad,Baited,Forested_Wetland,6/12/2022,19/12/2022,9/01/2023,25/01/2023,13/02/2023,21/02/2023,448803.6251,6414575.911,Dense
Q38,CamA,-32.412741,152.464939,6/12/2022,6/03/2023,,,,,1,13,Offroad,Baited,Wet_Sclerophyll_Forest,6/12/2022,19/12/2022,9/01/2023,25/01/2023,13/02/2023,21/02/2023,449688.0246,6413687.664,Forest
Q39,CamA,-32.401755,152.466134,6/12/2022,6/03/2023,22/12/2022,8/01/2023,,,1,13,Offroad,Baited,Wet_Sclerophyll_Forest,6/12/2022,19/12/2022,9/01/2023,25/01/2023,13/02/2023,21/02/2023,449794.3107,6414906.043,Forest
